stockCode,tickerSymbol,companyName,companyNameEng,market,sector
KR7001230002,001230,동국홀딩스보통주,DONGKUK HOLDINGS,KOSPI,철강금속
KR7001250000,001250,지에스글로벌보통주,GS Global Corp.,KOSPI,유통업
KR7001260009,001260,남광토건보통주,NamkwangEngineering&Construction,KOSPI,건설업
KR7001270008,001270,부국증권보통주,BookookSecurities,KOSPI,증권
KR7001271006,001275,부국증권1우선주,BookookSecurities(1P),KOSPI,증권
KR7001290006,001290,상상인증권보통주,SANGSANGININVESTMENT&SECURITIES,KOSPI,증권
KR7001340009,001340,백광산업보통주,PaikkwangIndustrial,KOSPI,화학
KR7001360007,001360,삼성제약,SAMSUNG PHARMACEUTICAL,KOSPI,의약품
KR7001380005,001380,SG글로벌보통주,SG GLOBAL,KOSPI,운수장비
KR7001390004,001390,KG케미칼보통주,KG Chemical,KOSPI,화학
KR7001420009,001420,태원물산보통주,TaewonMulsan,KOSPI,운수장비
KR7001430008,001430,세아베스틸지주보통주,SeAH Besteel Holdings Corporation,KOSPI,철강금속
KR7001440007,001440,대한전선보통주,TaihanElectricWire,KOSPI,전기전자
KR7001450006,001450,현대해상화재보험보통주,"Hyundai MARINE & FIRE INSURANCE CO.,LTD",KOSPI,보험
KR7001460005,001460,BYC보통주,BYC,KOSPI,섬유의복
KR7001461003,001465,BYC1우선주,BYC(1P),KOSPI,섬유의복
KR7001470004,001470,삼부토건보통주,SambuEngineering&Construction,KOSPI,건설업
KR7001500008,001500,현대차증권보통주,HYUNDAI MOTOR SECURITIES,KOSPI,증권
KR7001510007,001510,SK증권보통주,SKSecurities,KOSPI,증권
KR7001511005,001515,SK증권1우선주,SKSecurities(1P),KOSPI,증권
KR7001520006,001520,동양보통주,TONGYANG,KOSPI,비금속광물
KR7001521004,001525,동양1우선주,TONGYANG(1P),KOSPI,비금속광물
KR7001522002,001527,동양2우선주(신형),TONGYANG(2PB),KOSPI,비금속광물
KR7001530005,001530,DI동일보통주,DI DONGIL,KOSPI,유통업
KR7001540004,001540,안국약품,"AHN-GOOK PHARMACEUTICAL Co., Ltd.",KOSDAQ,제약
KR7001550003,001550,조비보통주,Chobi,KOSPI,화학
KR7001560002,001560,제일연마공업보통주,"CHEILGRINDINGWHEELIND.CO.,LTD",KOSPI,비금속광물
KR7001570001,001570,금양보통주,Kumyang,KOSPI,화학
KR7001620004,001620,케이비아이동국실업보통주,KBI DONGKOOK IND,KOSPI,운수장비
KR7001630003,001630,종근당홀딩스보통주,CHONGKUNDANG HOLDINGS CORP.,KOSPI,의약품
KR7001680008,001680,대상보통주,Daesang,KOSPI,음식료품
KR7001681006,001685,대상1우선주,Daesang(1P),KOSPI,음식료품
KR7001720002,001720,신영증권보통주,ShinyoungSecurities,KOSPI,증권
KR7001721000,001725,신영증권1우선주,ShinyoungSecurities(1P),KOSPI,증권
KR7001740000,001740,SK네트웍스보통주,"SKNetworksCo.,Ltd",KOSPI,유통업
KR7001750009,001750,한양증권보통주,HanyangSecurities,KOSPI,증권
KR7001751007,001755,한양증권1우선주,HanyangSecurities(1P),KOSPI,증권
KR7001770007,001770,SHD보통주,SHIN HWA DYNAMICS,KOSPI,철강금속
KR7001780006,001780,알루코 보통주,"ALUKO CO.,LTD.",KOSPI,철강금속
KR7001790005,001790,대한제당보통주,TS,KOSPI,음식료품
KR7001791003,001795,대한제당1우선주,TS(1P),KOSPI,음식료품
KR7001800002,001800,오리온홀딩스보통주,ORION Holdings,KOSPI,기타금융
KR7001810001,001810,무림에스피,"MOORIM SP CO., LTD.",KOSDAQ,종이·목재
KR7001820000,001820,삼화콘덴서공업보통주,SamwhaCapacitor,KOSPI,전기전자
KR7001840008,001840,이화공영,EehwaConstruction,KOSDAQ,건설
KR7001940006,001940,KISCO홀딩스보통주,KISCO Holdings,KOSPI,철강금속
KR7002020006,002020,코오롱보통주,KOLON CORPORATION,KOSPI,기타금융
KR7002021004,002025,코오롱1우선주,KOLON CORPORATION(1P),KOSPI,기타금융
